"dt","nom_doc","type","rq"
"2017-08-29 16:09:40+00","DECEMBRE_2016_MAJ_Du_28.11.2016.pdf","pj","provient du mailmaj planning decembre 2016"
"2017-08-29 16:09:40+00","PC - Planning janvier 2017","ml",""
"2017-08-29 16:09:41+00","DECEMBRE_2016.pdf","pj","provient du mailMAJ Planning décembre 2016"
"2017-08-29 16:09:41+00","DECEMBRE_2016_MAJ_Du_28.11.2016.pdf","pj","provient du mailMAJ Planning décembre 2016"
"2017-08-29 16:09:41+00","MAJ Planning décembre 2016","ml",""
"2017-08-29 16:09:42+00","PLANNING DECEMBRE 2016","ml",""
"2017-08-29 16:09:42+00","ANALYSE_CP_NOEL_ET_NOUVEL_AN.pdf","pj","provient du mailPlanning décembre 2016 (imminent)"
"2017-08-29 16:09:42+00","Planning décembre 2016 (imminent)","ml",""
"2017-08-29 16:09:42+00","DECEMBRE_2016.pdf","pj","provient du mailPLANNING DECEMBRE 2016"
"2017-08-29 16:09:43+00","octobre_2016.pdf","pj","provient du mailPlanning octobre 2016"
"2017-08-29 16:09:43+00","Planning octobre 2016","ml",""
"2017-08-29 16:09:44+00","PLANNING OCTOBRE 2016 Corrigé","ml",""
"2017-08-29 16:09:44+00","octobre_2016.pdf","pj","provient du mailPlanning OCTOBRE 2016"
"2017-08-29 16:09:44+00","octobre_2016.pdf","pj","provient du mailPLANNING OCTOBRE 2016 Corrigé"
"2017-08-29 16:09:44+00","Planning OCTOBRE 2016","ml",""
"2017-08-29 16:09:45+00","PLANNING OCTOBRE","ml",""
"2017-08-29 16:09:45+00","octobre_2016.pdf","pj","provient du mailPLANNING PC OCTOBRE 2016"
"2017-08-29 16:09:45+00","SEPTEMBRE_2016.pdf","pj","provient du mailPLANNING OCTOBRE"
"2017-08-29 16:09:45+00","SEPTEMBRE_2016.pdf","pj","provient du mailPLANNING PC OCTOBRE 2016"
"2017-08-29 16:09:45+00","octobre_2016.pdf","pj","provient du mailPLANNING OCTOBRE"
"2017-08-29 16:09:45+00","PLANNING PC OCTOBRE 2016","ml",""
"2017-08-29 16:09:45+00","maj Planning","ml",""
"2017-08-29 16:09:45+00","SEPTEMBRE_2016.pdf","pj","provient du mailmaj Planning"
"2017-08-29 16:09:45+00","AOUT_2016.pdf","pj","provient du mailmaj Planning"
"2017-08-29 16:09:46+00","Re: PC - Planning SEPTEMBRE 2016","ml",""
"2017-08-29 16:09:46+00","SEPTEMBRE_2016.pdf","pj","provient du mailplanning septembre 2016"
"2017-08-29 16:09:46+00","planning septembre 2016","ml",""
"2017-08-29 16:09:47+00","SEPTEMBRE_2016.pdf","pj","provient du mailPC - Planning SEPTEMBRE 2016"
"2017-08-29 16:09:47+00","SEPTEMBRE_2016.pdf","pj","provient du mailPC PLANNING SEPTEMBRE 2016"
"2017-08-29 16:09:47+00","PC PLANNING SEPTEMBRE 2016","ml",""
"2017-08-29 16:09:47+00","AOUT_2016.pdf","pj","provient du mailPC - Planning SEPTEMBRE 2016"
"2017-08-29 16:09:47+00","PC - Planning SEPTEMBRE 2016","ml",""
"2017-08-29 16:09:48+00","AOUT_2016.pdf","pj","provient du mailPLANNING AOUT 2016 rectifié"
"2017-08-29 16:09:48+00","PLANNING AOUT 2016 rectifié","ml",""
"2017-08-29 16:09:48+00","Re: planning mois d août","ml",""
"2017-08-29 16:09:49+00","AOUT_2016.pdf","pj","provient du mailPC PLANNING AOUT 2016"
"2017-08-29 16:09:49+00","PC PLANNING AOUT 2016","ml",""
"2017-08-29 16:09:50+00","JUILLET_2016.pdf","pj","provient du mailRectifications planning JUILLET 2016"
"2017-08-29 16:09:50+00","planning juillet 2016","ml",""
"2017-08-29 16:09:50+00","2016_JUILLET.pdf","pj","provient du mailplanning juillet 2016"
"2017-08-29 16:09:50+00","Rectifications planning JUILLET 2016","ml",""
"2017-08-29 16:09:51+00","2016_JUIN.pdf","pj","provient du mailMAJ Planning"
"2017-08-29 16:09:51+00","Re: planning de juin","ml",""
"2017-08-29 16:09:51+00","2016_JUIN.pdf","pj","provient du mailrectificatif planning juin"
"2017-08-29 16:09:51+00","MAJ Planning","ml",""
"2017-08-29 16:09:51+00","rectificatif planning juin","ml",""
"2017-08-29 16:09:52+00","2016_JUIN.pdf","pj","provient du mailPLANNING JUIN 2016"
"2017-08-29 16:09:52+00","2016_AVRIL_MAJ_AU_19.04.2016.ods","pj","provient du mailModifications planning 2016"
"2017-08-29 16:09:52+00","PLANNING JUIN 2016","ml",""
"2017-08-29 16:09:52+00","MAJ PLANNING CONGES","ml",""
"2017-08-29 16:09:52+00","Modifications planning 2016","ml",""
"2017-08-29 16:09:52+00","CONGES_ETE_2016.pdf","pj","provient du mailMAJ PLANNING CONGES"
"2017-08-29 16:09:53+00","Planning_PC_Décembre_2015.pdf","pj","provient du mailPlanning Décembre 2015"
"2017-08-29 16:09:53+00","Planning Décembre 2015","ml",""
"2017-08-29 16:09:53+00","Planning Février 2016","ml",""
"2017-08-29 16:09:53+00","Planning_PC_Février_2016_ref2016011901.pdf","pj","provient du mailPlanning Février 2016"
"2017-08-29 16:09:53+00","Planning_PC_Mars_2016_ref2016021701.pdf","pj","provient du mailPlanning mars 2016"
"2017-08-29 16:09:53+00","Planning mars 2016","ml",""
"2017-08-29 16:09:54+00","3474_001.pdf","pj","provient du mailPlanning novembre 2015"
"2017-08-29 16:09:54+00","Planning novembre 2015","ml",""
"2017-08-29 16:09:54+00","absence de Hans du 23h30 à 07h00","ml",""
"2017-08-29 16:09:55+00","casse froid Match Niederbronn du 10.08.2015","ml",""
"2017-08-29 16:09:56+00","ECOUTES - ENREGISTREMENT","ml",""
"2017-08-29 16:09:56+00","absence de benoit V ce soir","ml",""
"2017-08-29 16:09:57+00","MESSAGES INDESIRABLES SUR ZIMBRA","ml",""
"2017-08-29 16:09:58+00","Absence de Loic ce lundi 22.06.2015 de 19h à 7h","ml",""
"2017-08-29 16:09:58+00","sebastien a dit que tu etais un.....","ml",""
"2017-08-29 16:09:59+00","LA SATISFACTION CLIENTS","ml",""
"2017-08-29 16:10:00+00","Re: demande d'autorisation d'absence le 11 juin.","ml",""
"2017-08-29 16:10:01+00","Re: demande d'autorisation d'absence le 11 juin.","ml",""
"2017-08-29 16:10:01+00","ABSENCE DE HANS CE WEEK END","ml",""
"2017-08-29 16:10:01+00","MODIFICATION PLANNING POUR le week end du 23 et 24.05.2015","ml",""
"2017-08-29 16:10:02+00","INSCRIPTION DELEGUE DU PERSONNEL","ml",""
"2017-08-29 16:10:02+00","RETOUR DE HUMBERTO","ml",""
"2017-08-29 16:10:02+00","LISTE_DES_CANDIDATSDDP2015.doc","pj","provient du mailINSCRIPTION DELEGUE DU PERSONNEL"
"2017-08-29 16:10:03+00","connexion webclient","ml",""
"2017-08-29 16:10:03+00","planning modifié pour arrêt maladie d humberto maintenu","ml",""
"2017-08-29 16:10:03+00","changement planning chris g et laurent ?","ml",""
"2017-08-29 16:10:03+00","modif_planning_derniere_semaine_d_avril_pour_laurent_et_chris_g.ods","pj","provient du mailchangement planning chris g et laurent ?"
"2017-08-29 16:10:04+00","MODIF A COMPTER DE CETTE SEMAINE POUR 3 SEMAINES SI HUMB EN AM","ml",""
"2017-08-29 16:10:04+00","envoi des modifs. désolée","ml",""
"2017-08-29 16:10:04+00","modif_semaine_du_07.04_au_26.6_si_AM_humberto.xlsx","pj","provient du mailenvoi des modifs. désolée"
"2017-08-29 16:10:04+00","Re: planning du 7 au  26 si am humberto","ml",""
"2017-08-29 16:10:05+00","MODIFICATION DE PLANNING A COMPTER DU 03.03.2015","ml",""
"2017-08-29 16:10:05+00","CONGES ETE 2015","ml",""
"2017-08-29 16:10:05+00","CONGES_ETE_2015.xlsx","pj","provient du mailCONGES ETE 2015"
"2017-08-29 16:10:05+00","modif_planning_a_compter_du_03.03.2015.xlsx","pj","provient du mailMODIFICATION DE PLANNING A COMPTER DU 03.03.2015"
"2017-08-29 16:10:05+00","DELAI D INTERVENTION CONTRACTUEL POUR MNF SUR SITE DE MAIRIE DE  ROUBAIX","ml",""
"2017-08-29 16:10:06+00","POSTE DU 03.03.2015 POUR LOIC ET BENOIT V MODIFICATION PLANNING","ml",""
"2017-08-29 16:10:06+00","CONGES 2015","ml",""
"2017-08-29 16:10:07+00","MODIF_PLANNING_A_COMPTER_DU_01.01.2015.xlsx","pj","provient du mailPLANNING A COMPTER DU 01.01.2015"
"2017-08-29 16:10:07+00","je ne t ai pas trouvé sur le cahier de pointage le 3 et le 5 décembre ?","ml",""
"2017-08-29 16:10:07+00","ameline en congés patho à compter du 05.01.2015.","ml",""
"2017-08-29 16:10:07+00","PLANNING A COMPTER DU 01.01.2015","ml",""
"2017-08-29 16:10:08+00","planning_vacances_de_noel_etc.xlsx","pj","provient du maille planning provisoire.... (je dois faire poser les ""5 eme semaine début janvier ..peut être à compter du 05.01.2014)"
"2017-08-29 16:10:08+00","Poste permanence du matin et charge de travail journalière","ml",""
"2017-08-29 16:10:08+00","Modification planning pc à compter du 15.09.2014","ml",""
"2017-08-29 16:10:08+00","Local Permanence Téléphonique","ml",""
"2017-08-29 16:10:08+00","Fwd: CNAPS RENOUVELLEMENT CARTE","ml",""
"2017-08-29 16:10:08+00","Re: Poste permanence du matin et charge de travail journalière","ml",""
"2017-08-29 16:10:08+00","Copie carte CNAPS","ml",""
"2017-08-29 16:10:08+00","vacances_2014.xlsx","pj","provient du mailTABLEAU DES DEPARTS EN VACANCES 2014"
"2017-08-29 16:10:08+00","FUNERAILLES DE MR YANNICK DARRAS jeudi 3 juillet 2014 à 9h15  église ste Anne bd du brun pain à tourcoing","ml",""
"2017-08-29 16:10:08+00","TABLEAU DES DEPARTS EN VACANCES 2014","ml",""
"2017-08-29 16:10:08+00","Propreté Locaux","ml",""
"2017-08-29 16:10:08+00","le planning provisoire.... (je dois faire poser les ""5 eme semaine début janvier ..peut être à compter du 05.01.2014)","ml",""
"2017-08-29 16:10:08+00","modif_planning_pc_à_compter_du_15.09.2014.xlsx","pj","provient du mailModification planning pc à compter du 15.09.2014"
"2017-08-29 16:10:09+00","PERM DOMO","ml",""
"2017-08-29 16:10:09+00","PERM012014DOMOVEIL.xlsx","pj","provient du mailPERM DOMO"
"2017-08-29 16:10:09+00","vacances ete 2014 - manque la pose des conges de corentin (4  semaines) - adeline(15 jours)- surin (15 jours)","ml",""
"2017-08-29 16:10:10+00","CNAPS RENOUVELLEMENT CARTE","ml",""
"2017-08-29 16:10:10+00","signature_boite_fonctionnelle.png","pj","provient du mailRe: demande de renouvellement de carte pro"
"2017-08-29 16:10:10+00","Re: demande de renouvellement de carte pro","ml",""
"2017-08-29 16:10:11+00","carte pro...","ml",""
"2017-08-29 16:10:11+00","renouvellement carte pro -lien ci joint....rappel dépot des dossiers 3 mois minimum avant date d'expiration","ml",""
"2017-08-29 16:10:11+00","Horaires pour HANS pour les 15 prochains jours - lui communiquer  svp.merci","ml",""
"2017-08-29 16:10:11+00","ERREUR SUR PLANNING","ml",""
"2017-08-29 16:10:12+00","Permanence Téléphonique","ml",""
"2017-08-29 16:10:12+00","poste et travail","ml",""
"2017-08-29 16:10:13+00","back up - modification de planning","ml",""
"2017-08-29 16:10:13+00","modif_planning_10.7.2013.xls","pj","provient du mailmodification planning du 17.07 au 31.08.2013"
"2017-08-29 16:10:13+00","modification planning du 17.07 au 31.08.2013","ml",""
"2017-08-29 16:10:13+00","CONNEXION CONTROLE DISTANT SUR L ENSEMBLE DES PERMANENCES -","ml",""
"2017-08-29 16:10:14+00","IT_209_A_Logigramme_de_fonctionnement_de_l_Astreine_SSI_SERVICE.PDF","pj","provient du mailFwd: Fwd: Logigramme d'astreinte SSI"
"2017-08-29 16:10:14+00","Fwd: Fwd: Logigramme d'astreinte SSI","ml",""
"2017-08-29 16:10:15+00","planning_du_18112013_au_05012013.xlsx","pj","provient du mailmodif et suite du planning operateur du 18.11 au 05.01.2014"
"2017-08-29 16:10:15+00","modif et suite du planning operateur du 18.11 au 05.01.2014","ml",""
"2017-08-29 16:10:15+00","clip_image001.gif","pj","provient du mailINSATISFACTION CLIENTELE"
"2017-08-29 16:10:15+00","INSATISFACTION CLIENTELE","ml",""
"2017-08-29 16:10:17+00","Formulaire-carte-pro.pdf","pj","provient du mailMISE A JOUR DE VOS DOSSIERS - URGENT - RAPPEL"
"2017-08-29 16:10:17+00","planning_du_01.01.2014_AU_06.04.2014_-_MODIF_ATTENTION.xlsx","pj","provient du mailnouveau planning et horaire pour la permanence."
"2017-08-29 16:10:17+00","planning_du_01.01.2014_AU_06.04.2014_-_MODIF_ATTENTION.xlsx","pj","provient du mailplanning bis"
"2017-08-29 16:10:17+00","planning bis","ml",""
"2017-08-29 16:10:17+00","nouveau planning et horaire pour la permanence.","ml",""
"2017-08-29 16:10:17+00","MISE A JOUR DE VOS DOSSIERS - URGENT - RAPPEL","ml",""
"2017-08-29 16:10:17+00","code-de-deontologie-A4.pdf","pj","provient du mailMISE A JOUR DE VOS DOSSIERS - URGENT - RAPPEL"
"2017-08-29 16:10:18+00","ECOUTE - ENREGISTREMENT","ml",""
"2017-08-29 16:10:18+00","Fwd: Fwd: Fax received from ""polesantetravail"" - POUR BEN VISITE  MEDICALE","ml",""
"2017-08-29 16:10:18+00","fax000013355.pdf","pj","provient du mailFwd: Fwd: Fax received from ""polesantetravail"" - POUR BEN VISITE  MEDICALE"
"2017-08-29 16:10:18+00","VIDEOSURVEILLANCE","ml",""
"2017-08-29 16:10:19+00","Suite à mon dernier message il me manque les documents de corentin, humberto, ben et christophe langlet imperativement retourné avant le 21.10.2013. merci","ml",""
"2017-08-29 16:10:19+00","RAPPEL SUR MAI du lundi de paques pour","ml",""
"2017-08-29 16:10:19+00","lundi de paques - 1er avril.....désolée je ne l ai comptabilisé à personne en jour férié...je rattrape tt cà sur mai..encore une fois désolée...(je n ai pas oublié le 1er mai)","ml",""
"2017-08-29 16:10:20+00","pour consulter la convention collective à tout moment vous pouvez cliquer sur le lient suivant","ml",""
"2017-08-29 16:10:20+00","modif planning arret maladie humbero","ml",""
"2017-08-29 16:10:20+00","modif_planning_arret_humberto.xlsx","pj","provient du mailmodif planning arret maladie humbero"
"2017-08-29 16:10:20+00","TU NE M AS PAS RENDU LE CODE DE DEONTONLOGIE SIGNE. TU ES LE  DERNIER DU PC. SANS FAUTE A TON RETOUR DE VACANCES.MERCI","ml",""
"2017-08-29 16:10:22+00","POUR CHRISTOPHE GOSSART","ml",""
"2017-08-29 16:10:22+00","Fwd: erreur ou pas sur le planning","ml",""
"2017-08-29 16:10:23+00","planning_bis_vacances_2013.xls","pj","provient du mailplanning avec modif intégrée suite erreur de ma part ou modif demandée par vous"
"2017-08-29 16:10:23+00","planning avec modif intégrée suite erreur de ma part ou modif demandée par vous","ml",""
"2017-08-29 16:10:24+00","planning avril2013 -","ml",""
"2017-08-29 16:10:24+00","avril_opérateur.xls","pj","provient du mailplanning avril2013 -"
"2017-08-29 16:10:25+00","vacances 2013.....","ml",""
"2017-08-29 16:10:25+00","planning_vacances2013.xls","pj","provient du mailvacances 2013....."
"2017-08-29 16:10:26+00","CONSIGNES - ACTION","ml",""
"2017-08-29 16:10:26+00","du 21/03 au 07/04","ml",""
"2017-08-29 16:10:26+00","rectificatif semaine du 03.06 au 09.06 pour christophe g et humberto","ml",""
"2017-08-29 16:10:26+00","5eme_semain_du_21.03.2013_AU_07.04.2013.xls","pj","provient du maildu 21/03 au 07/04"
"2017-08-29 16:10:27+00","RIB","ml",""
